aartist,track_name,genius/lyrics,genius/lyrics_annotation,musicbrainz/work_meta,musicbrainz/recording_meta,musicbrainz/release_meta,musicbrainz/artist_meta,secondhandsong/artist_meta,sonar_id,chord_annotation_id
Thelonious Monk,Evidence,NF,NF,work_f1875b4c-ac07-3614-9bd2-4259e1865f07.json,recording_b438e7a3-91b9-4e43-9551-03b07036f3f3.json,release_e65a3c02-84c4-41b8-802f-71b5d42ac92a.json,artist_b438e7a3-91b9-4e43-9551-03b07036f3f3.json,shs_2288.json,jaah_76,Evidence
Charlie Parker All-Stars,Parker's Mood,NF,NF,work_93618e9e-4bf8-3cd9-8b72-258750d4222c.json,recording_c50ea630-b5f0-4c12-8e75-0321757d69a3.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_c50ea630-b5f0-4c12-8e75-0321757d69a3.json,NF,jaah_78,Parker's Mood
Jelly Roll Morton's Red Hot Peppers,Grandpa's Spells,NF,NF,work_097a47db-97fe-3c26-beee-0a2fd0a3fa08.json,recording_cc86ea4d-7a0b-443e-85f5-7352313de2e5.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_cc86ea4d-7a0b-443e-85f5-7352313de2e5.json,NF,jaah_77,Grandpa's Spells
Duke Ellington & His Orchestra,East St. Louis Toodle-Oo,NF,NF,work_60dc20df-e9e8-3f95-801a-058c41c4dd3f.json,recording_20d24e07-a14b-4b44-b372-8ea3b9f21c4e.json,release_046bace3-fe3e-465f-813a-66f280d6ee0d.json,artist_20d24e07-a14b-4b44-b372-8ea3b9f21c4e.json,NF,jaah_71,East St. Louis Toodle-Oo
Benny Goodman and His Orchestra,Honeysuckle Rose,NF,NF,work_8cb1dec5-951d-3ade-9466-29e3269b0dec.json,recording_0cd67ec0-b480-4d82-b38d-be022b71dd12.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_0cd67ec0-b480-4d82-b38d-be022b71dd12.json,NF,jaah_70,Honeysuckle Rose
Jimmie Noone's Apex Club Orchestra,Four or Five Times,NF,NF,work_cf7f7acd-386f-4c13-8f17-a3b5156043a1.json,recording_2483bae2-89a5-4c1f-aa76-a94ce6f2e09b.json,release_0cca56ba-1206-46a1-8a74-1bb683a451eb.json,artist_2483bae2-89a5-4c1f-aa76-a94ce6f2e09b.json,NF,jaah_75,Four or Five Times
Jimmie Lunceford and His Orchestra,For Dancers Only,NF,NF,work_0923216a-e435-44be-8403-f7a462d72f22.json,recording_b26fa5c2-4ddf-48af-9bf7-bd9a9d7d9657.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_b26fa5c2-4ddf-48af-9bf7-bd9a9d7d9657.json,NF,jaah_74,For Dancers Only
Clark Terry-Bob Brookmeyer Quintet,Haig & Haig,NF,NF,work_c55a5415-157d-4b13-8ecb-69f7cf5b3e22.json,recording_3a312349-bfa1-4e8d-bef3-3e151cb7b967.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_3a312349-bfa1-4e8d-bef3-3e151cb7b967.json,NF,jaah_73,Haig & Haig
Louis Armstrong and His Hot Five,Hotter Than That,lyrics_Hotter Than That_Louis Armstrong and His Hot Five.json,annotation_louisarmstrongandhishotfive_hotterthanthat.json,work_2e05ed29-b112-45d9-bad0-afee117b9817.json,recording_8fbdddb7-a518-46b3-9a2c-e0193669e002.json,release_85acac08-ae7a-4046-aa3a-a0dbd87b7152.json,artist_8fbdddb7-a518-46b3-9a2c-e0193669e002.json,NF,jaah_72,Hotter Than That
Sonny Rollins,St. Thomas,NF,NF,work_0abe6ce7-802a-3746-802a-55af2c96908a.json,recording_31f6b5f1-96d1-47cf-84e2-371d277577c6.json,release_9f34036e-7942-4be7-9bc3-9c86f38c9bba.json,artist_31f6b5f1-96d1-47cf-84e2-371d277577c6.json,shs_6614.json,N/A,N/A
Cannonball Adderley,Work Song,NF,NF,work_1f40e982-b949-4e5e-86f6-e603efd8f188.json,recording_1510f5f6-fd52-4676-a279-270c40bb4259.json,release_002cfc0f-213f-48c8-9633-3df4713f729c.json,artist_1510f5f6-fd52-4676-a279-270c40bb4259.json,shs_5854.json,jaah_87,Work Song
Thelonious Monk,Bags' Groove,NF,NF,work_e8381339-0422-421f-9fb8-f7a4211ce05c.json,recording_c4267824-c699-4c45-a06f-441a0b1fc7b9.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_c4267824-c699-4c45-a06f-441a0b1fc7b9.json,shs_2288.json,jaah_88,Bags' Groove
Count Basie & His Orchestra,Doggin' Around,lyrics_Doggin' Around_Count Basie & His Orchestra.json,annotation_countbasie&hisorchestra_doggin'around.json,work_87c19cf8-067c-3fb5-a66b-3a1e23f62153.json,recording_699579f6-d24a-4c64-9950-b6281c8a3b2e.json,release_3246ead0-5321-4354-ac3a-cbd6c079c2a7.json,artist_699579f6-d24a-4c64-9950-b6281c8a3b2e.json,NF,jaah_86,Doggin' Around
Louis Armstrong; Earl Hines,Weather Bird,lyrics_Weather Bird_Louis Armstrong; Earl Hines.json,annotation_louisarmstrong;earlhines_weatherbird.json,work_311ba91c-6dbf-4cf0-b854-5a4d129c777c.json,recording_d172970c-5751-44bf-8a45-65bc3223410e.json,release_0671ecb8-e8a5-4ee2-a933-f73fc1c93a4a.json,artist_d172970c-5751-44bf-8a45-65bc3223410e.json,shs_8216.json,jaah_85,Weather Bird
Louis Armstrong and His Hot Five,Struttin' With Some Barbecue,NF,NF,work_a3679100-2906-3ac2-8d08-7b73424d5083.json,recording_6259ce42-b0b2-4967-bb4a-a7c19d05ed4d.json,release_84b245fe-0e1e-4d13-a842-8b1ce664c625.json,artist_6259ce42-b0b2-4967-bb4a-a7c19d05ed4d.json,NF,N/A,N/A
Bessie Smith; James P. Johnson,Black Water Blues,NF,NF,work_6d42a083-e15b-499e-a8f7-9d352fed26a9.json,recording_631a1e8b-184d-4967-b1ae-946c3e0a53c9.json,release_190eb8c2-9f5b-4ae8-8c22-140d7598a271.json,artist_631a1e8b-184d-4967-b1ae-946c3e0a53c9.json,NF,N/A,N/A
Horace Silver; The Jazz Messengers,The Preacher,NF,NF,work_5dbea680-ae2f-30ad-bcb0-178270584d23.json,recording_c7ff468d-f263-41a4-b644-a935f9290f1c.json,release_9b6d929a-76ef-4a54-a757-dd267eecfa83.json,artist_c7ff468d-f263-41a4-b644-a935f9290f1c.json,NF,jaah_80,The Preacher
The Benny Goodman Sextet,Breakfast Feud (composite) (feat. Charlie Christian),NF,NF,work_7793f9a0-958c-4adc-9e31-db946e21d382.json,recording_3d672385-79a6-4aa6-94b8-af59a0447db1.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_3d672385-79a6-4aa6-94b8-af59a0447db1.json,NF,jaah_79,Breakfast Feud (composite) (feat. Charlie Christian)
Louis Armstrong and His Hot Seven,Big Butter and Egg Man From the West,NF,NF,work_af00bf3b-8a1b-4042-9bed-ba2872596003.json,recording_e3d72af4-c47b-422f-87b6-4218b68d2b7c.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_e3d72af4-c47b-422f-87b6-4218b68d2b7c.json,NF,jaah_83,Big Butter and Egg Man From the West
Bud Powell Trio,Night in Tunisia,NF,NF,work_aa7d6c10-c7a8-3eb5-b4b7-4de6a05d904e.json,recording_a0acca3d-7d17-4ee8-8087-e5d4b46fa047.json,release_a90eeed6-dc07-4173-938c-49e63142f299.json,artist_a0acca3d-7d17-4ee8-8087-e5d4b46fa047.json,NF,jaah_82,Night in Tunisia
Duke Ellington & His Orchestra,In a Mellotone,lyrics_In a Mellotone_Duke Ellington & His Orchestra.json,annotation_dukeellington&hisorchestra_inamellotone.json,work_50c2c0d9-a1c3-3fa5-8738-65d3b35a1994.json,recording_0d8187d0-854e-4221-adc4-95a49663020b.json,release_6ef4a4d8-8f9b-440c-9960-3093cfcadf50.json,artist_0d8187d0-854e-4221-adc4-95a49663020b.json,NF,jaah_84,In a Mellotone
Miles Davis Nonet,Boplicity,NF,NF,work_09a5aad2-2c02-4315-8bfb-29351cdde2e3.json,recording_75711684-1e71-4c0f-8070-89a82520552e.json,release_cfe54ee2-81b1-4942-b0f4-d977d8f15b29.json,artist_75711684-1e71-4c0f-8070-89a82520552e.json,NF,jaah_81,Boplicity
Sidney Bechet’s Blue Note Jazzmen,Blue Horizon,NF,NF,work_c5805cf1-6fe7-4f61-ab88-3d7085c324d3.json,recording_6a278fcb-224c-4c63-9e65-48cf3f0c1232.json,release_73d3f69f-6c01-4e54-b9e3-3ceb1b0d441d.json,artist_6a278fcb-224c-4c63-9e65-48cf3f0c1232.json,NF,jaah_54,Blue Horizon
