artist;track_name;genius/lyrics;genius/lyrics_annotation;musicbrainz/work_meta;musicbrainz/recording_meta;musicbrainz/release_meta;musicbrainz/artist_meta;secondhandsong/artist_meta;sonar_id;chord_annotation_id
Gerhard Hu_sch;NF;NF;NF;work_bd1bba90-c41b-3499-971d-d98e9a4717d2.json;recording_e2b9f10d-25cd-46b8-a565-b15da5d42ad3.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_e2b9f10d-25cd-46b8-a565-b15da5d42ad3.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_5e734626-1ccc-3399-97ea-76b872f34efd.json;recording_8569bd3e-eca9-495c-99db-ab35e65e2251.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_8569bd3e-eca9-495c-99db-ab35e65e2251.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_2b91cea1-60b6-302c-8b3a-4c43d38d3228.json;recording_d94d4166-c6fc-4932-baa8-e79534592f37.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_d94d4166-c6fc-4932-baa8-e79534592f37.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_e524702a-a5ab-339f-931b-11d7f5d4b9fc.json;recording_a2a119d4-7385-450c-876d-88e155f7fa6b.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_a2a119d4-7385-450c-876d-88e155f7fa6b.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_8d7009f3-e1ec-3680-bb81-4e5678e72094.json;recording_9d10e1cb-e42e-488e-85b7-faf7025b5b77.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_9d10e1cb-e42e-488e-85b7-faf7025b5b77.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_d01dc6e9-5e62-316c-8ee4-b6ffe66135c9.json;recording_9c33de1b-6bc8-480b-97e0-5164586bb913.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_9c33de1b-6bc8-480b-97e0-5164586bb913.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_8777bf67-d96c-3adc-bb99-23ff38ad7560.json;recording_27ac5324-bb81-4113-b4d1-c55a159e1ab0.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_27ac5324-bb81-4113-b4d1-c55a159e1ab0.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_26caae14-032b-3fd1-b32b-89b0d319fc63.json;recording_2afa5bed-d2eb-46c9-b4e2-bcadb64d2f95.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_2afa5bed-d2eb-46c9-b4e2-bcadb64d2f95.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_21fb65d7-3341-37ae-9e4d-f9a4157490eb.json;recording_eda274ad-a96e-46e7-b6b6-050303abf03a.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_eda274ad-a96e-46e7-b6b6-050303abf03a.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_541159ea-0c84-332f-a2dd-7ac293754c6e.json;recording_d3bd7ba8-3482-48e7-8286-593ae0da533c.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_d3bd7ba8-3482-48e7-8286-593ae0da533c.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_84e129e5-a742-37ee-ab52-49f47ce1b131.json;recording_23fec45b-d471-4c5e-9b55-691f61dcdf82.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_23fec45b-d471-4c5e-9b55-691f61dcdf82.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_426277cc-04f4-3c29-8395-17008584a11b.json;recording_20216d58-9f6e-4911-bc8a-2bfc4cab84df.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_20216d58-9f6e-4911-bc8a-2bfc4cab84df.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_039ecc38-4c6c-3088-8a6c-6d5add4273b1.json;recording_47f04218-eb88-4462-aa38-14ab0da3053b.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_47f04218-eb88-4462-aa38-14ab0da3053b.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_acbbe452-9664-3f04-a0d2-a746787b33ab.json;recording_62f1b2ca-0c91-4b92-9197-22f7c9d808a6.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_62f1b2ca-0c91-4b92-9197-22f7c9d808a6.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_b535b439-9c59-3572-9eb2-b26ece1311b9.json;recording_3df90bc3-c39c-41c6-9823-9d033c42f5dd.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_3df90bc3-c39c-41c6-9823-9d033c42f5dd.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_1188f027-a194-3fb4-b0cf-ee4516c8e0d9.json;recording_4df99850-20ec-472b-9102-7ea55bfb634a.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_4df99850-20ec-472b-9102-7ea55bfb634a.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_27c70cf0-cb19-3b00-8b2f-12ab9c03a55f.json;recording_f45059c0-4379-416d-ac56-4f10bc013dec.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_f45059c0-4379-416d-ac56-4f10bc013dec.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_3a4fa92d-419f-3256-9703-c79159d7c7e0.json;recording_318d5495-cecb-4b8b-93c3-19f7888e095e.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_318d5495-cecb-4b8b-93c3-19f7888e095e.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_5b20fb20-09d8-3c55-8790-24fed8cb1399.json;recording_29c401d7-0dca-4647-9f65-88e82e17cb8f.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_29c401d7-0dca-4647-9f65-88e82e17cb8f.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_59909dea-6a7e-36fb-9954-d81dbb19cb3f.json;recording_deed0edc-7e22-4232-bf3d-105dd48b9e78.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_deed0edc-7e22-4232-bf3d-105dd48b9e78.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_bd1bba90-c41b-3499-971d-d98e9a4717d2.json;recording_d2e2c19e-5e73-40f9-8c02-da5d78994512.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_d2e2c19e-5e73-40f9-8c02-da5d78994512.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_5e734626-1ccc-3399-97ea-76b872f34efd.json;recording_9322cbbe-73f1-4275-b7d6-7d0ef256cbcd.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_9322cbbe-73f1-4275-b7d6-7d0ef256cbcd.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_2b91cea1-60b6-302c-8b3a-4c43d38d3228.json;recording_5ac61a34-87e5-46fd-9a64-03144befb990.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_5ac61a34-87e5-46fd-9a64-03144befb990.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_e524702a-a5ab-339f-931b-11d7f5d4b9fc.json;recording_01717bc7-3df7-4f86-86db-5423cfa02049.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_01717bc7-3df7-4f86-86db-5423cfa02049.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_8d7009f3-e1ec-3680-bb81-4e5678e72094.json;recording_7a11452f-1a39-451f-806f-a4cdca167476.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_7a11452f-1a39-451f-806f-a4cdca167476.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_d01dc6e9-5e62-316c-8ee4-b6ffe66135c9.json;recording_3174ccab-4f16-4c5a-a79a-fe86adcbf092.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_3174ccab-4f16-4c5a-a79a-fe86adcbf092.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_8777bf67-d96c-3adc-bb99-23ff38ad7560.json;recording_65e3893c-78c2-4273-8868-110c7340cd00.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_65e3893c-78c2-4273-8868-110c7340cd00.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_26caae14-032b-3fd1-b32b-89b0d319fc63.json;recording_04b7e1af-798a-4476-8eb9-187cfd67c11f.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_04b7e1af-798a-4476-8eb9-187cfd67c11f.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_21fb65d7-3341-37ae-9e4d-f9a4157490eb.json;recording_62b67163-925e-4f9a-b8e7-f0e03ddbe3f5.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_62b67163-925e-4f9a-b8e7-f0e03ddbe3f5.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_541159ea-0c84-332f-a2dd-7ac293754c6e.json;recording_7c42fd1e-c863-4816-9358-b0b99e9d8d08.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_7c42fd1e-c863-4816-9358-b0b99e9d8d08.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_84e129e5-a742-37ee-ab52-49f47ce1b131.json;recording_3dc97c3e-0692-4d3c-97d9-7d657301551d.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_3dc97c3e-0692-4d3c-97d9-7d657301551d.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_426277cc-04f4-3c29-8395-17008584a11b.json;recording_7aa95d5a-1cc2-4aed-9dd1-392c73bf2979.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_7aa95d5a-1cc2-4aed-9dd1-392c73bf2979.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_039ecc38-4c6c-3088-8a6c-6d5add4273b1.json;recording_a0218192-06d6-4b96-aa8b-ce888acd625a.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_a0218192-06d6-4b96-aa8b-ce888acd625a.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_acbbe452-9664-3f04-a0d2-a746787b33ab.json;recording_17833ee0-471b-47a3-93c5-a377fae34dce.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_17833ee0-471b-47a3-93c5-a377fae34dce.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_b535b439-9c59-3572-9eb2-b26ece1311b9.json;recording_f2bd0ba4-025f-400f-87a0-249705914e66.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_f2bd0ba4-025f-400f-87a0-249705914e66.json;NF;N/A;
Gerhard Hu_sch;NF;NF;NF;work_1188f027-a194-3fb4-b0cf-ee4516c8e0d9.json;recording_9a486fa1-dea5-4633-927a-0e1fddb934e2.json;release_9e2fcbe4-e7f3-45c2-b24e-eb304f261fa9.json;artist_9a486fa1-dea5-4633-927a-0e1fddb934e2.json;NF;N/A;
